name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
vivo V25e ,16/05/23,False,,39999.0,39999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,118838170_NP-1033968180,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,32 MP AF HD Portrait,64MP OIS Ultra sensing rear camera+ 2MP+2MP,4,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,Not Specified,Android 11,,,,,Not Specified,,,
Realme C25Y ,16/05/23,False,,20449.0,20449.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,120239618_NP-1034229396,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,Not specified,Not specified,4,Glass,2021,4G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
TECNO POP 5 LTE 500MAh BIG BATTERY,16/05/23,False,,13790.0,13790.0,0.0,"[0, 0, 0, 0, 0]",,Technos,119483071_NP-1032706235,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Glasstic,2022,4G,no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme Narzo  50i ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,118954254_NP-1032574429,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
realme 9 PRO 5G ,16/05/23,True,-1%,38999.0,38499.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,121030563_NP-1032966721,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,16 mp,64 mp,4,Corning Gorilla Glass 5,2022,5G,33w,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s ,16/05/23,True,-6%,19999.0,18799.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120047583_NP-1032958102,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,50,5,Glass,2022,"4G,GSM",15W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SAMSUNG A04S,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
SAMSUNG GALAXY A14 5G ,16/05/23,False,,27999.0,27999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123980066_NP-1033653516,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,13,50,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart 6  ,16/05/23,False,,13500.0,13500.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125346780_NP-1034024253,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5,8,3,Glass,2022,GSM,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung M32 ,16/05/23,False,,28999.0,28999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118955095_NP-1032574426,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,20,64,5,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Itel Vision 3 Mobile,16/05/23,False,,15400.0,15400.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125021204_NP-1033948497,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5mp,8mp,3,Plastic,2023,4G,18,No,2,,,,,,,,,,,,,,,,,,,,,,,
Narzo 50A Prime 4,16/05/23,False,,21800.0,21800.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,120869924_NP-1033459047,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,8mp,50mp,4,Glass,2022,4G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s ,16/05/23,False,,21999.0,21999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126344001_NP-1034243003,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,50MP,3,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme C33 ,16/05/23,False,,18499.0,18499.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,120007859_NP-1032821836,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,Dual 50MP+0.3MP,3,Plastic,2022,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,RMX3624,Yes,IPS LCD,Octa-core,,HD,
Vivo Y15C 6,16/05/23,True,-17%,17999.0,14899.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,118546280_NP-1032462915,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,8,13,2,Glass,2022,"4G,3G,2G",10w,Yes,2,200-300 PPI,USB Type-B,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,HD,Android 11,Not Specified,Vivo Y15c,Yes,LCD,Octa-core,60 Hz,HD,
Realme Narzo 50A Prime ,16/05/23,False,,22499.0,22499.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,119779961_NP-1032763070,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8 MP,50 MP,3,Not Specified,2022,,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Z Fold 4 ,16/05/23,False,,244999.0,244999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123757979_NP-1033605667,4000 - 4999 mAh,6.6 - 7 Inch,Metal,4MP,Triple 50MP+10MP+12MP,4,Gorilla Glass Victus,2022,"4G,GSM,3G,2G,3.5G - HSDPA,5G","25W Wired, 15W Wireless & 4.5W Reverse Wireless 50% in 30 min",Yes,2,300-400 PPI,Type-C,Yes,,Yes,Nano,,Yes,No,Yes,Side Mounted,No,Not Specified,4K,Android,Yes,SM-F936B,No,Super AMOLED,Octa-core,120 Hz,Full HD,
Techno Spark 8 4GB RAM,16/05/23,False,,15990.0,15990.0,0.0,"[0, 0, 0, 0, 0]",,Technos,119475864_NP-1032703610,5000 - 5999 mAh,6.6 - 7 Inch,,8,16,2,Glasstic,2022,,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S23 Ultra 5G ,16/05/23,False,,191999.0,191999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,124225248_NP-1033703722,5000 - 5999 mAh,6.6 - 7 Inch,Glass,32,200,5,Gorilla Glass Victus,2023,"4G,GSM,3G,5G",Super Fast Charging 45W,Yes,2,Above 500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,Yes,Shared,2160p,Android,Yes,S23 Ultra,No,Super AMOLED,Octa-core,120 Hz,"HD,Ultra HD,4K",
Oppo A57 4G ,16/05/23,False,,23490.0,23490.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,125159075_NP-1033975737,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,13MP+2MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",33W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,,Yes,CPH2387,Yes,IPS LCD,Octa-core,60 Hz,HD,
Honor 70 5G ,16/05/23,True,-0.4%,69990.0,69690.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126934024_NP-1034432020,4000 - 4999 mAh,6.6 - 7 Inch,Glass,32 MP,54MP+50MP+2MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA,5G",66 Watt,No,2,Above 500 PPI,Type-C,,,Yes,,No,Yes,,Yes,On-Screen,,,,,,,,,,120 Hz,,"Authorised Service Center, CTC Mall, 5th Floor"
Samsung Galaxy A23 ,16/05/23,True,-7%,29999.0,27999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120050460_NP-1032958097,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8,50,3,Corning Gorilla Glass 5,2022,"4G,GSM,3G",25W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Nokia C20 6,16/05/23,False,,10999.0,10999.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,105702577_NP-1027537065,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,1,Not Specified,2021,Not Specified,No,No,Not Specified,,,,,,,,,,,,,,HD,Android 11,,,,,Not Specified,,,
REALME C35 6,16/05/23,True,-6%,22799.0,21499.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,116014433_NP-1032691997,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8 MP,50 MP,2,Glass,2022,"4G,3G,2G",18 W,No,2,400-500 PPI,USB Type-B,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Shared,1080p,Android 11,No,realme c35,Yes,IPS LCD,Octa-core,60 Hz,HD,
Kivi KS333 13Pro Mobile Phone ,16/05/23,False,,9990.0,9990.0,0.0,"[0, 0, 0, 0, 0]",,Kivi,119501916_NP-1032713195,3000 - 3999 mAh,5.1 - 5.5 Inch,Glass,5,5,5,Glass,2022,4G,yes,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Realme Narzo  50 ,16/05/23,False,,26999.0,26999.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,118949926_NP-1032572864,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,16,50,4,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG GALAXY A04 6,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120647187_NP-1032897957,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,50+2,2,Glasstic,2022,"4G,GSM,3G",15W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Lava Benco Y11 ,16/05/23,False,,6999.0,6999.0,0.0,"[0, 0, 0, 0, 0]",,Lava,120077691_NP-1032813562,Not Specified,Not Specified,Plastic,Not Specified,Not Specified,2,Corning Gorilla Glass,2021,4G,Not Specified,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M14 5G ,16/05/23,False,,25000.0,25000.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127269168_NP-1034507757,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,13MP,50MP+2MP+2MP,4,Corning Gorilla Glass 5,2023,"4G,GSM,3G,2G,3.5G - HSDPA,5G",25W Support,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Tecno ,16/05/23,False,,21990.0,21990.0,0.0,"[0, 0, 0, 0, 0]",,Tecno,125455211_NP-1034042122,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,"8 MP, f/2.0","13 MP, f/1.8, (wide), AF Dual Camera",2,Glass,2022,"4G,GSM,3G,2G",18W Fast Charger,No,2,,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Rear,Yes,Dedicated,HD,Android,No,,Yes,IPS LCD,Octa-core,,,
Techno pop 5 lite 6,16/05/23,True,-0.7%,13999.0,13899.0,0.0,"[0, 0, 0, 0, 0]",,Technos,117769941_NP-1032284815,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,8mp,3,Not Specified,2022,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Itel Vision 3 4GB RAM,16/05/23,False,,15399.0,15399.0,0.0,"[0, 0, 0, 0, 0]",,Itel,119430566_NP-1032685818,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5,8,3,Glasstic,2022,4G,18W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s ,16/05/23,True,-4%,19999.0,19150.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,119841034_NP-1032765717,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,Triple 48MP+2MP+2MP,4,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,Yes,Yes,No,No,,Yes,Dedicated,1080p,Android,Yes,A04S,Yes,IPS LCD,Octa-core,90 Hz,HD,
Apple iPhone 14 128GB,16/05/23,True,-10%,154990.0,138990.0,0.0,"[0, 0, 0, 0, 0]",,Apple,122764923_NP-1033376469,3000 - 3999 mAh,6.1 - 6.5 Inch,Glass,12,12,3,Scratch Resistant Glass,2022,"4G,GSM,5G",20W,Yes,1,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,No Fingerprint Sensor,No,,2160p,iOS,Yes,iPhone 14,No,OLED,Hexa-core,120 Hz,"HD,Full HD,Ultra HD,4K",
Vivo Y20 ,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,118988498_NP-1032584481,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,13MP+2MP+2MP (Triple),4,Glass,2020,"4G,GSM,3G",18W,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,V2027,Yes,IPS LCD,Octa-core,,HD,
Samsung Galaxy A54 5G ,16/05/23,True,-0.8%,59999.0,59499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,125921979_NP-1034117974,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,32,50,4,Corning Gorilla Glass 5,2023,"4G,3G,5G",25W Super Fast Charging,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,Yes,Shared,2160p,Android,Yes,A54 5G,No,Super AMOLED,Octa-core,120 Hz,"HD,Full HD,Ultra HD,4K",
Samsung Galaxy S23 Ultra With One Year Breakage Insurance,16/05/23,False,,191999.0,191999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127567416_NP-1034549510,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,16,108,5,Gorilla Glass Victus,2023,5G,45w,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M14 5G ,16/05/23,False,,24999.0,24999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127478242_NP-1034546280,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,13,50,3,Corning Gorilla Glass 5,2023,"4G,5G",25,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
Realme C30 Mobile Phone ,16/05/23,True,-4%,15999.0,15300.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,119229888_NP-1032664295,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP AI,2,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,RMX3581,Yes,IPS LCD,Octa-core,,HD,
realme GT 2 Pro 12,16/05/23,True,-2%,109999.0,107499.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,117646858_NP-1032639324,5000 - 5999 mAh,6.6 - 7 Inch,Glass,32 mp,50 mp,4,Corning Gorilla Glass 5,2022,"4G,3G,2G,5G",yes 65w,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Oneplus 11 5G ,16/05/23,False,,134999.0,134999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,124779351_NP-1033902043,5000 - 5999 mAh,6.6 - 7 Inch,Glass,16,50,5,Gorilla Glass Victus,2023,"4G,GSM,5G",100W Fast Charging,Yes,2,Above 500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,No,,2160p,Android,Yes,ONEPLUS 11 5G,No,AMOLED,Octa-core,120 Hz,"HD,Full HD,Ultra HD,4K",1 year warranty and Screen Breakage insurance.
Oppo A17k ,16/05/23,True,-15%,17000.0,14499.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,122417214_NP-1033615261,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,8mp,2,Not Specified,2022,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus 11 5G ,16/05/23,False,,134999.0,134999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,124095254_NP-1033794850,5000 - 5999 mAh,6.6 - 7 Inch,Glass,16MP,54MP,3,Not Specified,2022,5G,100 W,Yes,2,,,,,,,,,,,,,,,,,,,,,,,1 year on Phone and 6 months on battery
Realme NARZO 50I ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,112899812_NP-1033454346,5000 - 5999 mAh,5.1 - 5.5 Inch,Plastic,5MP,8MP,2,Glasstic,2021,GSM,Not Specified,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oppo F21 Pro ,16/05/23,False,,39999.0,39999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,125118397_NP-1033970262,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,32MP,64MP+2MP+2MP,4,Corning Gorilla Glass 5,2022,"4G,GSM,3G,2G,3.5G - HSDPA",33W Vooc,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,On-Screen,Yes,Dedicated,1080p,Android,Yes,CPH2363,Yes,AMOLED,Octa-core,90 Hz,Full HD,
Infinix Hot 9 ,16/05/23,True,-11%,17990.0,15950.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,106134907_NP-1027974498,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8 MP,16 MP,4,Plastic,2020,,Yes,No,2,,,,,,,,,,,,,,,,Yes,,Yes,IPS LCD,Octa-core,,Full HD,
OPPO A77s ,16/05/23,False,,30999.0,30999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,124027775_NP-1033669536,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,50,3,Glass,2023,"4G,GSM,3G",33W Fast Charging,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,A77S,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
Infinix Hot 10 Play Mobile,16/05/23,False,,17000.0,17000.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,123907594_NP-1033622716,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8,13,2,Plastic,2022,4G,5,No,2,,,,,,,,,,,,,,,,,,,,,,,
Tecno Pova Neo ,16/05/23,False,,23990.0,23990.0,0.0,"[0, 0, 0, 0, 0]",,Tecno,123335098_NP-1033513347,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,8MP,13MP + 13MP,3,Glass,2021,"4G,3G,2G",18W,No,2,200-300 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Rear,Yes,Dedicated,,Android,,,Yes,IPS LCD,Octa-core,120 Hz,,
Honor X5 ,16/05/23,True,-2%,11990.0,11750.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126928900_NP-1034416313,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5 MP,8 MP,2,Glass,2023,"4G,GSM,3G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,,,Side Mounted,Yes,,,,,,,,,,,"Authorised Service Center, CTC Mall, 5th Floor"
Samsung Galaxy A04 ,16/05/23,False,,14999.0,14999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,125590696_NP-1034059785,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,50,3,Glass,2022,"4G,GSM,3G",15W Fast Charging,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,SAMSUNG A04,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
Nokia G11 Plus 6,16/05/23,False,,19499.0,19499.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,119108003_NP-1032616732,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8,50,2,Not Specified,2022,"4G,GSM,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S23 Ultra 5G ,16/05/23,False,,209999.0,209999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,124431589_NP-1033788002,5000 - 5999 mAh,6.6 - 7 Inch,Glass,12,200,5,Gorilla Glass Victus,2023,"4G,GSM,5G",45W Super Fast Charging,Yes,2,Above 500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,No,Not Specified,2160p,Android,Yes,S23 ULTRA,No,Super AMOLED,Octa-core,120 Hz,"HD,Ultra HD,4K",
Samsung Galaxy A14 5G ,16/05/23,False,,29999.0,29999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126329567_NP-1034227866,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,13MP,50MP,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart6 ,16/05/23,True,-7%,14999.0,13990.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,114105662_NP-1031001902,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8 MP,13 MP,3,Plastic,2022,4G,Yes,No,2,,Micro USB,,,,,No,Yes,Yes,,Rear,Yes,,1080p,,Yes,X657B,Yes,IPS LCD,Quad-core,,Full HD,
Realme C30  6,16/05/23,True,-0.7%,13499.0,13399.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,123238521_NP-1033481252,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,8mp,2,Not Specified,2022,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus 11 5G ,16/05/23,False,,134999.0,134999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,124106304_NP-1033676677,5000 - 5999 mAh,6.6 - 7 Inch,Glass,16MP,50MP+48MP+32MP,4,Not Specified,2022,"4G,3G,2G,5G",100W,Yes,2,,Type-C,Yes,Yes,Yes,Nano,No,Yes,,Yes,On-Screen,No,,,,,,,,,Above 90 Hz,,
Samsung SM,16/05/23,True,-5%,3150.0,2999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126945638_NP-1034478995,Under 1000 mAh,Less than 3.5 Inch,Plastic,0,0,Not Specified,Not Specified,2021,Not Specified,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Note 10 Lite ,16/05/23,False,,58999.0,58999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104134488_NP-1024964954,Not Specified,6.1 - 6.5 Inch,Glass,,,4,Corning Gorilla Glass 6,2020,,Yes,No,,,,,,,,,,,,,,,HD,Android 10,,,,,Not Specified,,,
Samsung Galaxy M31 ,16/05/23,False,,35699.0,35699.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104130511_NP-1024960839,Not Specified,6.1 - 6.5 Inch,Plastic,,,5,Corning Gorilla Glass 3,2020,,Yes,No,,,,,,,,,,,,,,,Not Specified,Android,,,,,Not Specified,,,
samsung A04e 3GB RAM 32 GB ROM dual camera 13,16/05/23,True,-0.7%,13499.0,13399.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123246573_NP-1033480595,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,13mp,3,Corning Gorilla Glass 3,2023,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A13 ,16/05/23,False,,25499.0,25499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123842753_NP-1033620136,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,8,50,4,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Itel Vision 3 Smart Phone ,16/05/23,False,,12500.0,12500.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125345781_NP-1034025088,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8,8,2,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oppo A17 ,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,125155897_NP-1033975729,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,Dual 50MP+2MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",Yes,No,2,200-300 PPI,,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,CPH2477,Yes,IPS LCD,Quad-core,60 Hz,HD,
HONOR X9 8GB RAM,16/05/23,False,,38490.0,38490.0,0.0,"[0, 0, 0, 0, 0]",,Honor,115822458_NP-1031684066,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16,64,4,Not Specified,Not Specified,"4G,GSM,3G,2G,3.5G - HSDPA",66 W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M21 ,16/05/23,False,,27499.0,27499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104130508_NP-1024966823,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,,,4,Corning Gorilla Glass 3,2020,,Yes,No,,,,,,,,,,,,,,,Not Specified,Android,,,,,Not Specified,,,
realme 10 Pro Plus ,16/05/23,False,,45999.0,45999.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,123076745_NP-1033443679,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,16MP,108MP+8MP+2MP,4,Glass,2022,"4G,3G,2G,5G",67W Supervooc Charge,No,2,,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,,On-Screen,,,,Android,,,,AMOLED,Mediatek,120 Hz,4K,
Tecno Spark 7T 4GB RAM ,16/05/23,False,,17990.0,17990.0,0.0,"[0, 0, 0, 0, 0]",,Technos,119475980_NP-1032705326,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,8,64,3,Glasstic,2022,4G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A14 LTE  ,16/05/23,False,,20999.0,20999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126332130_NP-1034241009,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,13MP,50MP,3,Not Specified,2023,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Peach Samsung Galaxy A13 ,16/05/23,False,,21499.0,21499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127282361_NP-1034509649,Not Specified,6.6 - 7 Inch,Not Specified,Not Specified,Not Specified,5,Corning Gorilla Glass,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
